central,empresa,grupoempresario,tipodecentral,potenciainstaladamv,caracteristicas,localidad,departamento,provincia,fuente,geom,geojson
AES-PARANA,C.T. AES PARANA,AES ALICURA SA,TERMICA,845.3,<br>Maquina: AESPTV01 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 319.3 | Año de puesta en marcha: 2001 | Año de ingreso al MEM: 2001-11-15<br>Maquina: AESPTG01 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 263 | Año de puesta en marcha: 2001 | Año de ingreso al MEM: 2001-11-15<br>Maquina: AESPTG02 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 263 | Año de puesta en marcha: 2001 | Año de ingreso al MEM: 2001-11-15,SIN DATOS DE LOCALIDAD,SAN NICOLAS,BUENOS AIRES,CAMMESA,0101000020E6100000E44EE960FD154EC0C25087156EAD40C0,"{""type"":""Point"",""coordinates"":[-60.171795,-33.354922]}"
SAN NICOLAS,C.TERMICA SAN NICOLAS,AES ALICURA SA,TERMICA,675,<br>Maquina: SNICTV13 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 75 | Año de puesta en marcha: 1956 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SNICTV14 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 75 | Año de puesta en marcha: 1956 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SNICTV15 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 350 | Año de puesta en marcha: 1983 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SNICTG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 25 | Año de puesta en marcha: 2004 | Año de ingreso al MEM: 2004-07-12<br>Maquina: SNICTV11 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 75 | Año de puesta en marcha: 1956 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SNICTV12 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 75 | Año de puesta en marcha: 1956 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,SAN NICOLAS,BUENOS AIRES,CAMMESA,0101000020E6100000C0CFB87020164EC0713AC95697AD40C0,"{""type"":""Point"",""coordinates"":[-60.172865,-33.356181]}"
MAR DE AJO,C.COSTA ATLANTICA,CENTRALES DE LA COSTA ATLANTIC,TERMICA,30,<br>Maquina: MDAJTG17 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 15 | Año de puesta en marcha: 1975 | Año de ingreso al MEM: 1994-01-01<br>Maquina: MDAJTG15 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 15 | Año de puesta en marcha: 1969 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,ADOLFO ALSINA,BUENOS AIRES,CAMMESA,0101000020E610000067BC08AE4D994FC054707841445C42C0,"{""type"":""Point"",""coordinates"":[-63.1976831,-36.720833]}"
MAR DEL PLATA,C.COSTA ATLANTICA,CENTRALES DE LA COSTA ATLANTIC,TERMICA,176.9,<br>Maquina: MDPATG19 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 15 | Año de puesta en marcha: 1971 | Año de ingreso al MEM: 1994-01-01<br>Maquina: MDPATG21 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 25 | Año de puesta en marcha: 1984 | Año de ingreso al MEM: 1994-01-01<br>Maquina: MDPATG22 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 25.9 | Año de puesta en marcha: 2013 | Año de ingreso al MEM: 2013-05-20<br>Maquina: MDPATV07 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 27 | Año de puesta en marcha: 1972 | Año de ingreso al MEM: 1994-01-01<br>Maquina: MDPATV08 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 29 | Año de puesta en marcha: 1972 | Año de ingreso al MEM: 1994-01-01<br>Maquina: MDPATG20 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 15 | Año de puesta en marcha: 1971 | Año de ingreso al MEM: 1994-01-01<br>Maquina: MDPATG13 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 24 | Año de puesta en marcha: 1984 | Año de ingreso al MEM: 1994-01-01<br>Maquina: MDPATG12 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 16 | Año de puesta en marcha: 1969 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,GENERAL PUEYRREDON,BUENOS AIRES,CAMMESA,0101000020E61000004451A04FE4C54CC0DA588979560643C0,"{""type"":""Point"",""coordinates"":[-57.54603,-38.049514]}"
NECOCHEA,C.COSTA ATLANTICA,CENTRALES DE LA COSTA ATLANTIC,TERMICA,204,<br>Maquina: NECOTV02 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 32 | Año de puesta en marcha: 1963 | Año de ingreso al MEM: 1994-01-01<br>Maquina: NECOTV01 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 32 | Año de puesta en marcha: 1963 | Año de ingreso al MEM: 1994-01-01<br>Maquina: NECOTV04 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 70 | Año de puesta en marcha: 1973 | Año de ingreso al MEM: 1994-01-01<br>Maquina: NECOTV03 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 70 | Año de puesta en marcha: 1973 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,NECOCHEA,BUENOS AIRES,CAMMESA,0101000020E6100000DEAB5626FC5A4DC0E1CFF0660D4A43C0,"{""type"":""Point"",""coordinates"":[-58.71082,-38.578534]}"
VILLA GESELL,C.COSTA ATLANTICA,CENTRALES DE LA COSTA ATLANTIC,TERMICA,125,<br>Maquina: VGESTG11 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 14 | Año de puesta en marcha: 1969 | Año de ingreso al MEM: 1994-01-01<br>Maquina: VGESTG14 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 17 | Año de puesta en marcha: 1970 | Año de ingreso al MEM: 2006-08-01<br>Maquina: VGESTG16 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 14 | Año de puesta en marcha: 1969 | Año de ingreso al MEM: 1994-01-01<br>Maquina: VGESTG18 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 80 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2011-07-01,SIN DATOS DE LOCALIDAD,GENERAL JUAN MADARIAGA,BUENOS AIRES,CAMMESA,0101000020E61000005793A7ACA67F4CC0105B7A34D59F42C0,"{""type"":""Point"",""coordinates"":[-56.997274,-37.248694]}"
CLAROMECO,COOPERATIVA ELECTRICA DE CLAROMECO,SIN DATOS DE GRUPO EMPRESARIO,EOLICA,0.75,<br>Maquina: MICON 750/48 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.75 | Fecha de puesta en servicio: 1999-01-16 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,TRES ARROYOS,BUENOS AIRES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000137AA290090B4EC0C40AB77C246A43C0,"{""type"":""Point"",""coordinates"":[-60.0862294,-38.8292385]}"
V.GESELL COOP.,COOP. VILLA GESELL GENERACION,COOP. VILLA GESELL GENERACION,TERMICA,3,<br>Maquina: VGEPDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 3 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-01-10,SIN DATOS DE LOCALIDAD,VILLA GESELL,BUENOS AIRES,CAMMESA,0101000020E61000000E2C47C8407C4CC0FAB836548C9F42C0,"{""type"":""Point"",""coordinates"":[-56.970727,-37.24647]}"
DARREGUEIRA,COOPERATIVA,SIN DATOS DE GRUPO EMPRESARIO,EOLICA,0.75,<br>Maquina: MICON 750/150 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.75 | Fecha de puesta en servicio: 1997-09-19 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,PUAN,BUENOS AIRES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000067BC08AE4D994FC0557C8D6ECED642C0,"{""type"":""Point"",""coordinates"":[-63.1976831,-37.6781748]}"
INDIO RICO,COOPERATIVA,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.362,<br>Maquina: KOERTING A3V5 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.105 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: DEUTZ A6M428 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.152 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: KOERTING A3V5 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.105 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CORONEL PRINGLES,BUENOS AIRES,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000501C40BFEF714EC0726C3D43382A43C0,"{""type"":""Point"",""coordinates"":[-60.890129,-38.329842]}"
